State,Candidate,Party,Votes,Vote share,Electoral votes,Expected votes counted (%)
Montana,Jill Stein,Green,"2,878",0.005,0,0.993
Montana,Write-ins,Write - In,0,0,0,0.993
North Carolina,Donald Trump wins,Republican (incumbent),"2,898,423",0.509,16,0.99
North Carolina,Kamala Harris,Democrat,"2,715,375",0.476,0,0.99
North Carolina,Jill Stein,Green,"24,762",0.004,0,0.99
North Carolina,Chase Oliver,Libertarian,"22,125",0.004,0,0.99
North Carolina,Write-ins,Write - In,"19,494",0.003,0,0.99
North Carolina,Cornel West,Unity,"12,099",0.002,0,0.99
North Carolina,Randall Terry,Constitution,"6,863",0.001,0,0.99
North Dakota,Donald Trump wins,Republican (incumbent),"246,505",0.67,3,1
North Dakota,Kamala Harris,Democrat,"112,327",0.305,0,1
North Dakota,Chase Oliver,Libertarian,"6,227",0.017,0,1
North Dakota,Write-ins,Write - In,"3,096",0.008,0,1
Nebraska,Donald Trump wins,Republican (incumbent),"564,816",0.593,4,1
Nebraska,Kamala Harris,Democrat,"369,995",0.389,1,1
Nebraska,Chase Oliver,Libertarian,"6,399",0.007,0,1
Nebraska,Write-ins,Write - In,"5,023",0.005,0,1
Nebraska,Cornel West,Unity,"3,062",0.003,0,1
Nebraska,Jill Stein,Green,"2,887",0.003,0,1
New Hampshire,Kamala Harris wins,Democrat (incumbent),"418,488",0.507,4,1
New Hampshire,Donald Trump,Republican,"395,523",0.479,0,1
New Hampshire,Chase Oliver,Libertarian,"4,425",0.005,0,1
New Hampshire,Write-ins,Write - In,"4,073",0.005,0,1
New Hampshire,Jill Stein,Green,"3,680",0.004,0,1
New Jersey,Kamala Harris wins,Democrat (incumbent),"2,220,713",0.518,14,1
New Jersey,Donald Trump,Republican,"1,968,215",0.459,0,1
New Jersey,Jill Stein,Green,"39,041",0.009,0,1
New Jersey,Robert F. Kennedy Jr,Independent,"23,479",0.005,0,1
New Jersey,Write-ins,Write - In,"15,014",0.004,0,1
New Jersey,Chase Oliver,Libertarian,"10,500",0.002,0,1
New Jersey,Claudia De la Cruz,Peace and Freedom,"5,105",0.001,0,1
New Jersey,Randall Terry,Constitution,"3,024",0.001,0,1
New Jersey,Joseph Kishore,Socialist Equality,"1,371",0,0,1
New Jersey,Rachele Fruit,Socialist Workers Party,"1,277",0,0,1
New Mexico,Kamala Harris wins,Democrat (incumbent),"478,802",0.519,5,1
New Mexico,Donald Trump,Republican,"423,391",0.459,0,1
New Mexico,Robert F. Kennedy Jr,Independent,"9,553",0.01,0,1
New Mexico,Jill Stein,Green,"4,611",0.005,0,1
New Mexico,Chase Oliver,Libertarian,"3,745",0.004,0,1
New Mexico,Claudia De la Cruz,Peace and Freedom,"2,442",0.003,0,1
New Mexico,Laura Ebke,Liberal,859,0.001,0,1
Nevada,Donald Trump wins,Republican,"751,205",0.506,6,1
Nevada,Kamala Harris,Democrat (incumbent),"705,197",0.475,0,1
Nevada,None of these candidates,None Of The Above,"19,625",0.013,0,1
Nevada,Chase Oliver,Libertarian,"6,059",0.004,0,1
Nevada,Joel Skousen,Constitution,"2,754",0.002,0,1
New York,Kamala Harris wins,Democrat (incumbent),"4,619,195",0.559,28,1
New York,Donald Trump,Republican,"3,578,899",0.433,0,1
New York,Write-ins,Write - In,"64,401",0.008,0,1
Ohio,Donald Trump wins,Republican (incumbent),"3,180,116",0.551,17,1
Ohio,Kamala Harris,Democrat,"2,533,699",0.439,0,1
Ohio,Chase Oliver,Libertarian,"28,200",0.005,0,1
Ohio,Richard Duncan,Independent,"12,805",0.002,0,1
Ohio,Peter Sonski,American Solidarity,"10,197",0.002,0,1
Ohio,Write-ins,Write - In,"2,771",0,0,1
Oklahoma,Donald Trump wins,Republican (incumbent),"1,036,213",0.662,7,1
Oklahoma,Kamala Harris,Democrat,"499,599",0.319,0,1
Oklahoma,Robert F. Kennedy Jr,Independent,"16,020",0.01,0,1
Oklahoma,Chase Oliver,Libertarian,"9,198",0.006,0,1
Oklahoma,Chris Garrity,Independent,"5,143",0.003,0,1
Oregon,Kamala Harris wins,Democrat (incumbent),"1,240,600",0.553,8,1
Oregon,Donald Trump,Republican,"919,480",0.41,0,1
Oregon,Robert F. Kennedy Jr,Independent,"33,733",0.015,0,1
Oregon,Jill Stein,Green,"19,099",0.009,0,1
Oregon,Write-ins,Write - In,"15,026",0.007,0,1
Oregon,Chase Oliver,Libertarian,"9,061",0.004,0,1
Oregon,Cornel West,Unity,"5,644",0.003,0,1
Oregon,Randall Terry,Constitution,"1,850",0.001,0,1
Pennsylvania,Donald Trump wins,Republican,"3,543,308",0.504,19,1
Pennsylvania,Kamala Harris,Democrat (incumbent),"3,423,042",0.487,0,1
Pennsylvania,Jill Stein,Green,"34,538",0.005,0,1
Pennsylvania,Chase Oliver,Libertarian,"33,318",0.005,0,1
Pennsylvania,Write-ins,Write - In,0,0,0,1
Rhode Island,Kamala Harris wins,Democrat (incumbent),"283,750",0.554,4,0.99
Rhode Island,Donald Trump,Republican,"214,291",0.419,0,0.99
Rhode Island,Robert F. Kennedy Jr,Independent,"5,039",0.01,0,0.99
Rhode Island,Jill Stein,Green,"2,871",0.006,0,0.99
Rhode Island,Write-ins,Write - In,"2,722",0.005,0,0.99
Rhode Island,Chase Oliver,Libertarian,"1,614",0.003,0,0.99
Rhode Island,Claudia De la Cruz,Peace and Freedom,"1,171",0.002,0,0.99
Rhode Island,Robby Wells,The Party Party,358,0.001,0,0.99
South Carolina,Donald Trump wins,Republican (incumbent),"1,483,747",0.582,9,1
South Carolina,Kamala Harris,Democrat,"1,028,452",0.404,0,1
South Carolina,Chase Oliver,Libertarian,"12,669",0.005,0,1
South Carolina,Jill Stein,Green,"8,117",0.003,0,1
South Carolina,Cornel West,Unity,"6,744",0.003,0,1
South Carolina,Randall Terry,Constitution,"5,352",0.002,0,1
South Carolina,Claudia De la Cruz,Peace and Freedom,"3,059",0.001,0,1
South Dakota,Donald Trump wins,Republican (incumbent),"272,081",0.634,3,1
South Dakota,Kamala Harris,Democrat,"146,859",0.342,0,1
South Dakota,Robert F. Kennedy Jr,Independent,"7,204",0.017,0,1
South Dakota,Chase Oliver,Libertarian,"2,778",0.006,0,1
Tennessee,Donald Trump wins,Republican (incumbent),"1,966,865",0.642,11,1
Tennessee,Kamala Harris,Democrat,"1,056,265",0.345,0,1
Tennessee,Robert F. Kennedy Jr,Independent,"21,535",0.007,0,1
Tennessee,Jill Stein,Green,"8,967",0.003,0,1
Tennessee,Jay Bowman,Independent,"5,865",0.002,0,1
Tennessee,Claudia De la Cruz,Peace and Freedom,"3,457",0.001,0,1
Tennessee,Rachele Fruit,Socialist Workers Party,988,0,0,1
Tennessee,Write-ins,Write - In,0,0,0,1
Texas,Donald Trump wins,Republican (incumbent),"6,393,597",0.561,40,1
Texas,Kamala Harris,Democrat,"4,835,250",0.425,0,1
Texas,Jill Stein,Green,"82,701",0.007,0,1
Texas,Chase Oliver,Libertarian,"68,557",0.006,0,1
Texas,Write-ins,Write - In,"8,569",0.001,0,1
Utah,Donald Trump wins,Republican (incumbent),"883,818",0.594,6,1
Utah,Kamala Harris,Democrat,"562,566",0.378,0,1
Utah,Chase Oliver,Libertarian,"16,902",0.011,0,1
Utah,Joel Skousen,Constitution,"8,402",0.006,0,1
Utah,Jill Stein,Green,"8,222",0.006,0,1
Utah,Claudia De la Cruz,Peace and Freedom,"3,189",0.002,0,1
Utah,Lucifer Everylove,Unaffiliated,"2,653",0.002,0,1
Utah,Cornel West,Unity,"2,199",0.001,0,1
Utah,Write-ins,Write - In,543,0,0,1
Virginia,Kamala Harris wins,Democrat (incumbent),"2,335,395",0.518,13,1
Virginia,Donald Trump,Republican,"2,075,085",0.461,0,1
Virginia,Jill Stein,Green,"34,888",0.008,0,1
Virginia,Write-ins,Write - In,"23,365",0.005,0,1
Virginia,Chase Oliver,Libertarian,"19,814",0.004,0,1
Virginia,Cornel West,Unity,"8,984",0.002,0,1
Virginia,Claudia De la Cruz,Peace and Freedom,"8,410",0.002,0,1
Vermont,Kamala Harris wins,Democrat (incumbent),"235,791",0.638,3,1
Vermont,Donald Trump,Republican,"119,395",0.323,0,1
Vermont,Robert F. Kennedy Jr,Independent,"5,905",0.016,0,1
Vermont,Write-ins,Write - In,"3,033",0.008,0,1
Vermont,Chase Oliver,Libertarian,"1,828",0.005,0,1
Vermont,Claudia De la Cruz,Peace and Freedom,"1,710",0.005,0,1
Vermont,Cornel West,Unity,"1,549",0.004,0,1
Vermont,Rachele Fruit,Socialist Workers Party,211,0.001,0,1
Washington,Kamala Harris wins,Democrat (incumbent),"2,245,849",0.572,12,1
Washington,Donald Trump,Republican,"1,530,923",0.39,0,1
Washington,Robert F. Kennedy Jr,Independent,"54,868",0.014,0,1
Washington,Jill Stein,Green,"29,754",0.008,0,1
Washington,Write-ins,Write - In,"25,410",0.006,0,1
Washington,Chase Oliver,Libertarian,"16,428",0.004,0,1
Washington,Claudia De la Cruz,Peace and Freedom,"8,695",0.002,0,1
Washington,Cornel West,Unity,"7,254",0.002,0,1
Washington,Shiva Ayyadurai,Independent,"3,323",0.001,0,1
Washington,Joseph Kishore,Socialist Equality,917,0,0,1
Washington,Rachele Fruit,Socialist Workers Party,824,0,0,1
Wisconsin,Donald Trump wins,Republican,"1,697,626",0.496,10,1
Wisconsin,Kamala Harris,Democrat (incumbent),"1,668,229",0.487,0,1
Wisconsin,Robert F. Kennedy Jr,Independent,"17,740",0.005,0,1
Wisconsin,Jill Stein,Green,"12,275",0.004,0,1
Wisconsin,Chase Oliver,Libertarian,"10,511",0.003,0,1
Wisconsin,Write-ins,Write - In,"7,705",0.002,0,1
Wisconsin,Randall Terry,Constitution,"4,044",0.001,0,1
Wisconsin,Cornel West,Unity,"2,753",0.001,0,1
Wisconsin,Claudia De la Cruz,Peace and Freedom,"2,035",0.001,0,1
West Virginia,Donald Trump wins,Republican (incumbent),"533,556",0.7,4,1
West Virginia,Kamala Harris,Democrat,"214,309",0.281,0,1
West Virginia,Robert F. Kennedy Jr,Independent,"8,947",0.012,0,1
West Virginia,Chase Oliver,Libertarian,"3,047",0.004,0,1
West Virginia,Jill Stein,Green,"2,531",0.003,0,1
West Virginia,Write-ins,Write - In,370,0,0,1
Wyoming,Donald Trump wins,Republican (incumbent),"192,633",0.716,3,0.99
Wyoming,Kamala Harris,Democrat,"69,527",0.258,0,0.99
Wyoming,Chase Oliver,Libertarian,"4,193",0.016,0,0.99
Wyoming,Write-ins,Write - In,"2,695",0.01,0,0.99
