Country,Party system,Ruling party or coalition  Other parties,Last election
Hong Kong,Dominant-party,"Pro-Beijing camp (DAB, FTU, BPA, NPP, LP, FEW, FLU, Roundtable, PP, KWND, NP, NCF)Third Side, Pro-democracy camp",2021 (legislative)2023 (local)
Macau,Dominant-party,"Pro-Beijing camp (ACUM, UPD, UMG, UPP, ABL)Pro-democracy camp (NE), Synergy Power",2021 (legislative)
Colombia,Multi-party,"PHxC, PLC, AV, Colombia Reborn, ASI, Citizen Force, CommonsCD, CR, LIGA, PVO, MIRA, PCC, PSUN, MSN, CJL",2022 (parliament)2022 (presidential)
Comoros,Dominant-party,Convention for the Renewal of the ComorosOrange Party,2020 (legislative)2024 (presidential)
Congo,Dominant-party,"Congolese Party of Labour, MAR, RDPSUPADS, UDH-Yuki, MAR, PRL, Club 2002, DRD, RDPS, APC, MUST, MDC, CPR, URDP, RC, MCDDI",2021 (presidential)2022 (parliament)
DR Congo,Multi-party,"President: UDPS; Parliament: Sacred Union of the NationParliamentary opposition: Lamuka Coalition [fr], Congo ya Makasi",2023 (general)2024 (senate)
Cook Islands,Multi-party,"Cook Islands Party, Pro-government independentsDemocratic Party, Cook Islands United Party, One Cook Islands Movement",2022 (general)
Costa Rica,Multi-party,"Social Democratic Progress Party (minority)PLN, PUSC, PNR, PLP, Broad Front",2022 (general)
Croatia,Multi-party,"Croatian Democratic Union, DP, HDS, HSLS, HNS-LD, HSUSDP,  Most, We can!, SDSS, Centre–NPS, Glas–HSS–DO i SIP, HS–PiP, IDS-DDI, Focus",2019–20 (presidential)2024 (parliament)
Cuba,One-party,Communist Party of Cuba,2023 (parliament)
Curaçao,Multi-party,"MFK, National People's PartyPAR, Partido MAN, Kòrsou Esun Miho, Work for Curaçao",2021 (general)
Cyprus,Multi-party,"Democratic Party, Democratic Alignment, EDEKDemocratic Rally, AKEL, ELAM, KOSP",2023 (presidential)2021 (legislative)
Czech Republic,Multi-party,"SPOLU (ODS, KDU-ČSL, TOP 09), Mayors and IndependentsANO 2011, Freedom and Direct Democracy, Czech Pirate Party",2021 (legislative)2023 (presidential)
Denmark,Multi-party,"Social Democrats, Venstre, Moderates, Union Party, JF, Siumut, IAGreen Left, DD, Liberals, DKF, EL, RV, ALT, NB, DF",2022 (general)
Djibouti,Dominant-party,"Union for the Presidential Majority (RPP, FRUD, PND, PSD, UPR)UDJ",2021 (presidential)2023 (parliament)
Dominica,Dominant-party,"Dominica Labour PartyNo parliamentary opposition, Team Unity Dominica, United Workers' Party",2022 (general)
Dominican Republic,Multi-party,"PRM, FA, APD, DxC, PHD, BIS, PRSD, PQDC, PCRDominican Liberation Party, FP, PRSC, PRD, ALPAÍS, PLR",2024 (general)
Timor-Leste,Multi-party,"National Congress for Timorese Reconstruction, Democratic PartyFRETILIN, KHUNTO, People's Liberation Party",2023 (parliament)2022 (presidential)
Ecuador,Multi-party,"National Democratic Action, PachakutikRC, Construye, PSC, PID, SUMA, Avanza [es], PSP, RETO, CD, UP, AMIGO",2023 (general)
Egypt,Dominant-party,"Independents, Nation's Future Party, RPP, New Wafd, HDP, MEP, SDPCDM (RDP, ESDP, Justice) Tagammu, Conference, EFP, Al-Nour, EPM, EGP",2023 (presidential)2020 (parliament)
El Salvador,Dominant-party,"Nuevas Ideas, National Coalition Party, Christian Democratic PartyNationalist Republican Alliance, Vamos",2024 (presidential)2024 (legislative)
Equatorial Guinea,Dominant-party,"Democratic Party of Equatorial GuineaNo parliamentary opposition, Convergence for Social Democracy",2022 (general)
Eritrea,One-party,People's Front for Democracy and Justice,Elections postponed
Estonia,Multi-party,"Reform Party, Estonia 200, Social Democratic Party Conservative People's Party, Isamaa, Centre Party, ERK",2023 (parliament)
Eswatini,Non-partisan,Independents (no political parties),2023 (general)
Ethiopia,Dominant-party,"Prosperity PartyNaMA, EZEMA, GPDP",2021 (general)
European Union,Multi-party,"EPP, PES, ALDEECR, Patriots.eu, EGP, ESN, ELA, EDP, EFA, PEL, ECPM",2024 (parliament)
Falkland Islands,Non-partisan,Independents (no political parties),2021 (general)
Faroe Islands,Multi-party,"Social Democratic Party, Republic, ProgressUnion Party, People's Party, Centre Party",2022 (general)
Fiji,Multi-party,"People's Alliance, National Federation Party, SODELPAIndependents (Ex-FijiFirst)",2022 (general)
Finland,Multi-party,"National Coalition, Finns Party, Christian Democrats, Swedish People's PartySDP, Centre Party, The Greens, Left Alliance, Movement Now",2023 (parliament)2024 (presidential)
France,Multi-party,"Ensemble (RE, MoDem, HOR, UDI, PR, EC), LR, LC, ACNFP (LFI, PS, LÉ, PCF, PP, REV, GRS), UXD (RN, UDR, IDL), R&PS",2022 (presidential)2024 (legislative)
French Guiana,Multi-party,"DVG, Péyi Guyane, La France Insoumise, MDES, Socialist PartyDVC, Guiana Rally, The Republicans",2021 (regional)
French Polynesia,Multi-party,"Tāvini HuiraʻatiraTāpura Huiraʻatira, A here ia Porinetia, ʻĀmuitahiraʻa o te Nūnaʻa Māʻohi",2023 (legislative)
Gabon,Military junta,CTRI (civilian government suspended),2023 coup d'état
Gambia,Multi-party,"National People's Party, National Reconciliation Party, APRCUnited Democratic Party, PDOIS",2021 (presidential)2022 (parliament)
Georgia,Dominant-party,"Georgian Dream, People's PowerCfC (Ahali, Girchi–MF, Droa, Rep), U–NM (UNM, SA, EG, P&F), SG (Lelo, FtP, Citizens, FS), FG, CPG",2024 (parliament)
Germany,Multi-party,"Social Democratic Party, Alliance 90/The GreensUnion (CDU, CSU), Free Democratic Party, Alternative for Germany, The Left, BSW",2021 (federal)
Ghana,Two-party,New Patriotic PartyNational Democratic Congress,2020 (general)
Gibraltar,Multi-party,"GSLP–Liberal Alliance (GSLP, LPG)Gibraltar Social Democrats",2023 (general)
Greece,Multi-party,"New DemocracySyriza, PASOK–KINAL (PASOK, KIDISO), KKE, Greek Solution, NA, Spartans, Niki, Course of Freedom",2023 (legislative)
Greenland,Multi-party,"Inuit Ataqatigiit, NaleraqSiumut, Democrats, Atassut",2021 (general)
Grenada,Two-party,National Democratic CongressNew National Party,2022 (general)
Guadeloupe,Multi-party,"GUSR, DVCPlural Left",2021 (regional)
Guatemala,Multi-party,"Semilla, Winaq–URNGVamos, UNE, Cabal, ViVa, Valor, VOS, Todos, PPN, BIEN, Victoria, PA, CE, CREO, Cambio",2023 (general)
Guernsey,Multi-party,"IndependentsFuture Guernsey, Guernsey Party",2020 (general)
Guinea,Military junta,CNRD (civilian government suspended),2021 coup d'état
Guinea-Bissau,Multi-party,"PAI–Terra Ranka  (PAIGC and others), PRS, PTGMadem G15 (president's party), Assembly of the People United",2019 (presidential)2023 (legislative)
Guyana,Multi-party,"People's Progressive Party/CivicAPNU+AFC (PNCR and others) (official opposition), LJP–ANUG–TNM",2020 (general)
Haiti,Multi-party,"Transitional non-partisan government; TPC member parties: FL, OPL, PPD, EDE [fr], RENParliament dissolved; PHTK, Inite, Haiti in Action, RDNP, Renmen, UNCRH, PFSDH",2016–17 (senate)2016 (presidential)
Honduras,Multi-party,"Liberty and Refoundation, Innovation and Unity Party, Anti-Corruption PartyNational Party, Liberal Party, Savior Party of Honduras",2021 (general)
Hungary,Dominant-party,"Fidesz–KDNP (Fidesz, KDNP), LdUDK–MSZP–P (DK, MSZP, Dialogue, Szikra), Momentum, Jobbik, Mi Hazánk, LMP, ANPM",2022 (parliament)
Iceland,Multi-party,"Independence Party, Progressive Party, Left-Green MovementSamfylkingin, People's Party, Pirate Party, Liberal Reform Party, Centre Party, The Greens",2021 (parliament)2024 (presidential)
India,Multi-party,"NDA (BJP, TDP, JDU, JSP, SHS, RJLP, AD(S), AJSU, NDPP, NPP, NPF, MNF, SKM, JD(S), AGP)INDIA (INC, DMK, AITC, AAP, CPI(M), SS(UBT), NCP (SP), RJD, JKNC, IUML, JMM, SP, CPI, RSP, VCK, KC(M))Others (YSRCP, BJD, BSP, BRS, SAD, AIMIM, AIUDF, RLP, AIADMK)",2024 (general)
Indonesia,Multi-party,"KIM Plus (Gerindra, Golkar, PKB, PAN, Demokrat), PDI-P, NasDem, PKS",2024 (general)
Iran,Two-party[c],Reformists (executive majority)Principlists (legislative+judicial+oversight majority),2024 (presidential)2024 (legislative)
Iraq,Multi-party,"Takadum, State of Law, PDK, Fatah, PUK, Azem, Victory Alliance, Babylon MovementEmtidad, Naway Nwe, Tasmim, National Contract, Ishraq Kanoon, NPI, MDR, others",2021 (parliament)
Kurdistan,Multi-party,"Kurdistan Democratic Party, Patriotic Union of KurdistanGorran, Naway Nwe, Kurdistan Justice Group, Yekgirtû",2024 (parliament)
Ireland,Multi-party,"Fianna Fáil, Fine Gael, Green PartySinn Féin, Labour Party, Social Democrats, PBP–S, Aontú, Right to Change",2020 (general)
Isle of Man,Multi-party,"IndependentsLabour Party, Liberal Vannin Party",2021 (general)
Israel,Multi-party,"Likud, Shas, Mafdal–RZ, UTJ, Otzma, New Hope, NoamYesh Atid, National Unity, Yisrael Beiteinu, Ra'am, Hadash–Ta'al, Democrats",2022 (legislative)
Italy,Multi-party,"Brothers of Italy, League, Forza Italia, Us Moderates, MAIE, DCR, UdCPD–IDP (PD, DemoS, CD), M5S, Az, AVS (EV, SI, PP), IV, +E, SVP, ScN, UV",2022 (general)
Ivory Coast,Dominant-party,"Rally of Houphouëtists for Democracy and Peace (RDR)PDCI-RDA, Together for Democracy and Sovereignty, UDPCI, FPI",2020 (presidential2021 (parliament)
Jamaica,Two-party,Jamaica Labour PartyPeople's National Party,2020 (general)
Japan,Multi-party,"Liberal Democratic Party, KomeitoConstitutional Democratic Party, Ishin, DPP,  Reiwa, Communist Party, Sanseitō, CPJ, SDP",2024 (general)2022 (upper house)
Jersey,Multi-party[d],"Independents, Reform Jersey, Jersey Liberal ConservativesIndependents, Better Way",2022 (general)
Jordan,Dominant-party[e],"Pro-monarchy independents, National Charter Party, Eradah Party, 	Progress PartyIslamic Action Front, National Islamic Party, National Union Movement, Communist Party",2024 (general)
Kazakhstan,Dominant-party,"AmanatAuyl, Respublica, Aq Jol, People's Party, JSDP",2022 (presidential)2023 (legislative)
Kenya,Multi-party,"Kenya Kwanza (UDA, ANC, FORD–K, UDM, TSP, MCC, UPIA, UPA, CCK, DP, GDDP, MDG)Azimio (ODM, Jubilee, WDM–K, DAP–K, KANU, KUP, NOPEU, NAP–K, UDP)",2022 (general)
Kiribati,Two-party,Tobwaan Kiribati PartyBoutokaan Kiribati Moa Party,2024 (parliament)2024 (presidential)
Korea (DPRK),One-party,"Workers' Party of Korea, other minor parties (KSDP, Chondoist Chongu Party)",2019 (parliament)
Korea (ROK),Multi-party,"People Power Party Democratic Party, Rebuilding Korea, New Reform, Progressive Party, BIP, SDP",2022 (presidential)2024 (legislative)
Kuwait,Non-partisan,Independents (no political parties),2024 (general)
Kyrgyzstan,Multi-party,"Mekenchil, Ata-Jurt Kyrgyzstan, Ishenim, YntymakEldik, Alliance, United Kyrgyzstan, Light of Faith, SDK, Afghans' Party",2021 (presidential)2021 (parliament)
Kosovo,Multi-party,"Vetëvendosje, Guxo, Alternativa, KDTP, NDS, IRDK, Vakat, LPRK, SDU, PAIPDK, LDK, Serb List, AAK, AKR, JGP, RI, GI SPO",2021 (parliament)
Laos,One-party,Lao People's Revolutionary Party,2021 (parliament)
Latvia,Multi-party,"New Unity, Union of Greens and Farmers, The ProgressivesUnited List, National Alliance, For Stability!, Latvia First",2022 (parliament)
Lebanon,Multi-party,"Acting gov't: FPM, Amal, Hezbollah, PSP, Marada, ARF, Al-Ahbash, Ba'ath, UP, JILF, Kataeb, Taqaddom, Al Haraka, Tahalof Watani, ReLebanon, Khatt Ahmar, Lana, Osos, NDP, PNO",2022 (general)
Lesotho,Multi-party,"Revolution for Prosperity, BAP, AD, MEC, LCD, LPC, HOPEDemocratic Congress, ABC, SR, BNP, PFD, BCM, MPS, NIP, UFC, BPP",2022 (general)
Liberia,Two-party,"Unity PartyCongress for Democratic Change, other small parties",2023 (general)
Libya,Non-partisan,"Government of National Unity, Government of National StabilityIndependents",2014 (parliament)
Liechtenstein,Multi-party,"Patriotic Union, Progressive Citizens' PartyFree List, Democrats for Liechtenstein",2021 (general)
Lithuania,Multi-party,"Homeland Union, Liberal Movement, Freedom PartyLVŽS, DSVL, LSDP, DP, LLRA–KŠS, LRP, NA, LKDP",2024 (parliament)2024 (presidential)
Luxembourg,Multi-party,"Christian Social People's Party, Democratic PartyLSAP, ADR, The Greens, Pirate Party, The Left",2023 (general)
Madagascar,Dominant-party,"IRMAR [fr] (Young Malagasies Determined, ADN, AKFM, AVANA, AVI, MDM, RPSD)Firaisankina [fr] (TIM, HVM [fr], Pro-Siteny, TT, APM), FIVOI, KOL, Green, GJMP",2023 (presidential)2024 (parliament)
Malawi,Multi-party,"Malawi Congress Party, United Transformation Movement, independentsDemocratic Progressive Party, UDF, People's Party, AFORD",2019 (parliament)2020 (presidential)
Malaysia,Multi-party,"PH (PKR, DAP, Amanah, UPKO), BN (UMNO, MCA, MIC, PBRS), GPS (PBB, PRS, PDP, SUPP), GRS (PBS, STAR), Warisan, KDM, PBMPN (PAS, BERSATU, GERAKAN), MUDA",2022 (general)
Maldives,Multi-party,"Progressive Congress Coalition (PNC, PPM)Maldivian Democratic Party, Maldives Development Alliance, Jumhooree Party, Maldives Reform Movement, Adhaalath Party, People's National Front",2023 (presidential)2024 (parliament)
Mali,Military junta,Malian Armed Forces (civilian government suspended),2021 coup d'état
Malta,Two-party,Labour PartyNationalist Party,2022 (general)
Marshall Islands,Two-party,Independents (Pro-Heine)Independents (Pro-Kabua),2023 (general)
Mauritania,Multi-party,"Equity Party, AND, El Islah, UDP, El Karama, Nida El Watan, HATEM, HIWAR, El VadilaTewassoul, Hope Mauritania, Sawab–RAG, AJD/MR, State of Justice",2024 (presidential)2023 (parliament)
Mauritius,Multi-party,"Labour Party, Mauritian Militant Movement, Nouveau Démocrate, Rezistans ek AlternativRodrigues People's Organisation, Alliance Liberation, Militant Socialist Movement, Social Democratic Party",2024 (general)
Mayotte,Multi-party,"The Republicans, NÉMA, DVDMDM, Renaissance, DVC",2021 (legislative)
Mexico,Multi-party,"Morena, Ecologist Green Party, Labor PartyNational Action Party, Institutional Revolutionary Party, Citizens' Movement",2024 (general)
Micronesia,Non-partisan,Independents (no political parties),2023 (parliament)
Moldova,Multi-party,"Party of Action and SolidarityBloc of Communists and Socialists (PSRM, PCRM), Victory (ȘOR–Independents, Revival), MAN",2021 (parliament)2024 (presidential)
Monaco,Multi-party,"UNM (Priorité Monaco, Horizon Monaco, Union Monégasque)No parliamentary opposition; New Ideas for Monaco",2023 (parliament)
Mongolia,Multi-party,"Mongolian People's Party, Democratic Party, HUN PartyNational Coalition (Green Party, MNDP, MLDP), Civil Will–Green Party",2021 (presidential)2024 (legislative)
Montenegro,Multi-party,"Europe Now, ZBCG (NSD, DNP), Democrats, BS, SNP, ASh, UCG, Civic, LDSh [sq], FORCA, UDShDemocratic Party of Socialists, United Reform Action, Social Democrats, HGI",2023 (presidential)2023 (legislative)
Montserrat,Two-party,"United AlliancePeople's Democratic Movement (official opposition), Movement for Change and Prosperity",2024 (general)
Morocco,Multi-party,"National Rally of Independents, Authenticity and Modernity Party, Istiqlal PartySocialist Union of Popular Forces, Popular Movement, UC–MDS, PPS, PJD, FFD, PSU,  AFG",2021 (general)
Mozambique,Dominant-party,"FRELIMOPODEMOS, RENAMO, MDM",2024 (general)
Myanmar,Military junta,"State Administration Council (civilian government suspended), USDP, PPP, NDF, KPP, PNO, ZCD, MUPDe jure no opposition. General Elections are suspended due to ongoing Myanmar civil war (2021-present)  All opposition parties against the Junta were banned. Former ruling party National League for Democracy, which was overthrown by the military coup in 2021 formed National Unity Government with small minor parties, allied with Anti-government armed groups and revolted against the Junta caused the civil war.",2021 coup d'état
Namibia,Dominant-party,"SWAPOPDM, LPM, NUDO, APP, UDF, RP, NEFF, RDP, CDV, SWANU, IPC",2019 (general)
Nauru,Multi-party,"Independents, Nauru FirstOpposition independents",2022 (parliament)
Nepal,Multi-party,"NC, CPN (UML), PSP, LSP-N, NUP, Janamat, PSP-NSocialist Front (CPN (MC), RSP, CPN (US), NSP), RPP, AJP, NWPP, RJM",2022 (general)
Netherlands,Multi-party,"PVV, VVD, NSC, BBBGL/PvdA, D66, CDA, SP, FvD, PvdD, SGP, CU, DENK, Volt, JA21, 50PLUS, OPNL",2023 (general)
New Caledonia,Multi-party,"Caledonian Union, FLNKS, L'EO, UNI, LKS, Labour PartyFuture with Confidence, Caledonia Together, Generations NC",2019 (legislative)
New Zealand,Multi-party,"National Party, ACT New Zealand, New Zealand FirstLabour Party (official opposition), Green Party, Te Pāti Māori",2023 (general)
Nicaragua,Dominant-party,"Sandinista National Liberation Front, YATAMAConstitutionalist Liberal Party, ALN, PLI, CCN, APRE",2021 (general)
Niger,Military junta,"CSNP (civilian government suspended), M62 Movement",2023 coup d'état
Nigeria,Multi-party,"All Progressives CongressPeoples Democratic Party (official opposition), Labour Party, NNPP, APGA, ADC, SDP, YPP, ADP",2023 (general)
Niue,Non-partisan,Independents (no political parties),2023 (general)
North Macedonia,Multi-party,"Your Macedonia (VMRO-DPMNE, SPM, DPSM), VLEN (ASh, Besa, LD, AAA, LVV), ZNAMFor a European Future (SDSM, NSDP, LDP), European Front (BDI, ASh, LP, TDP, THDH), Levica, PDSh",2024 (presidential)2024 (parliament)
Northern Cyprus,Multi-party,"National Unity Party, Democratic Party, Rebirth PartyRepublican Turkish Party, People's Party",2020 (presidential)2022 (parliament)
Norway,Multi-party,"Labour Party, Centre PartyConservative Party, FrP, SV, Liberal Party, Red Party, KrF, Green Party, Patient Focus",2021 (parliament)
Oman,Non-partisan,IndependentsNo political parties,2023 (general)
Pakistan,Multi-party,"PMLN, MQM-P, PML (Q), IPP, PPP, BAP, NP, PML-Z, ANPTehreek Tahafuz Ayin (PTI, SIC, BNP-M, MWM, PMAP JI, JUI (F)), TLP), AP),",2024 (general)
Palau,Non-partisan,Independents (no political parties),2024 (general)
Palestine,Multi-party,"PLO (Fatah, PFLP, DFLP, PPP), National Initiative, Third WayHamas (de facto control of the Gaza Strip)",2006 (legislative)
Panama,Multi-party,"Realizing Goals, Alliance Party, PRD, CD, Panameñista, MOLIRENA, PPCoalición Vamos, Another Way Movement",2024 (general)
Papua New Guinea,Multi-party,"Pangu, URP, NA, People's, SDP, PFP, PNGP, ULP, Advance, National, AP, Green, Liberal, MAP, NGP, ODP, PLP, PMC, PPP, PRP, Destiny, THEPeople's National Congress Party",2022 (general)
Paraguay,Dominant-party,"Colorado PartyAuthentic Radical Liberal Party, National Crusade, Yo Creo, PEN, PPQ, PPS, Guasú Front, PDP",2023 (general)
Peru,Multi-party,"Non-partisan government; Popular Force, Alliance for Progress, Podemos Perú, Free Peru, Popular Action, Magisterial Bloc, We Are PeruPopular Renewal, Together for Peru, Avanza País, Socialist Bloc, Popular Democratic Bloc, Honor and Democracy, First The People",2021 (general)2022 crisis
Philippines,Multi-party,"Alyansa para sa Bagong Pilipinas (Federal Party, Lakas–CMD, NUP, NPC, Nacionalista), PDP, HNP, LDP, PMP, PRP, UNA, CDP, AksyonLiberal Party, Makabayan, Akbayan, KNP, Reporma, BUP",2022 (general)
Pitcairn Islands,Non-partisan,Independents (no political parties),2023 (general)
Poland,Multi-party,"KO (PO, .N, IPL, PZ, T!DPL, AU), TD (KP, PL2050), The Left (NL, UP, PPS)United Right (PiS, OdNowa RP), Confederation (NN, RN, KKP), Razem, Kukiz'15–WiD",2020 (presidential)2023 (parliament)
Portugal,Multi-party,"Democratic Alliance (Social Democratic Party, CDS – People's Party)Socialist Party, Chega, IL, Left Bloc, PCP, LIVRE, PAN",2024 (parliament)2021 (presidential)
Puerto Rico,Two-party,"Popular Democratic PartyNew Progressive Party (governor's party), MVC, PIP, PD",2024 (general)
Qatar,Non-partisan,Independents (no political parties),2021 (general)
Romania,Multi-party,"PSD, PNL, USR, UDMR/RMDSZ, Ethnic minority partiesAlliance for the Union of Romanians, S.O.S. Romania, Party of Young People",2019 (presidential)2024 (legislative)
Russia,Dominant-party,"United Russia, LDPR (incl. Rodina and Civic Platform), A Just Russia – For TruthCommunist Party (incl. DPA, DNZS and Left Front), New People",2024 (presidential)2021 (legislative)
Rwanda,Dominant-party,"Rwandan Patriotic FrontLiberal Party, Social Democratic Party, Ideal Democratic Party, DGPR, PSI",2024 (general)
Saint Helena,Non-partisan,Independents (no political parties),2021 (general)
Saint Kittsand Nevis,Multi-party,"Saint Kitts and Nevis Labour PartyConcerned Citizens' Movement, People's Labour Party, People's Action Movement",2022 (general)
Saint Lucia,Two-party,Saint Lucia Labour PartyUnited Workers Party,2021 (general)
Saint Pierreand Miquelon,Two-party,Archipelago Tomorrow (LR)Together for the Future (PRG),2022 (legislative)
Saint Vincent andthe Grenadines,Two-party,Unity Labour PartyNew Democratic Party,2020 (general)
Samoa,Two-party,Faʻatuatua i le Atua Samoa ua Tasi  (incl. Samoa National Democratic Party)Human Rights Protection Party,2021 (general)
San Marino,Multi-party,"Sammarinese Christian Democratic Party, Libera–PS, PSD, Reformist AllianceFuture Republic, Domani Motus Liberi, RETE Movement",2024 (general)
São Toméand Príncipe,Multi-party,"Independent Democratic ActionMLSTP/PSD, MCI/PS-PUN, Basta",2021 (presidential)2022 (legislative)
Saudi Arabia,Non-partisan,Independents (no political parties),No elections
Senegal,Multi-party,"PASTEF, Awalé, Avenir Sénégal, MRLD, SETTakku Wallu Sénégal (APR, PDS, Rewmi), Sàmm sa Kàddu (MTS, LS/MPR), Jàmm ak Njariñ (PS, AFP), PUR",2024 (presidential)2022 (legislative)
